 type|subtype|name|abbrev|notes|cost|humanity cost|surgery|number of options|source
 CYBERHAND|OPTION|Aip Hypo|CDAH|4 doses;air containers 3|200|1|N||Chromebook 2 pg.4
 CYBERHAND|OPTION|Ballpoint Finger|CDBF|Leak proof pen|25|0.5|N||Chromebook 4 pg.4
 CYBERHAND|OPTION|Cyberhand Coverings|CHC|Same range as listed in for cyberlimbs; 1/2 HC for the limb|100|0|N||Chromebook 1 pg.31
 CYBERHAND|OPTION|Dartgun|CDDG|3m range|100|2|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|Derringer|CDD|P -1 P E 1d6 (5mm) 2 2 ST 50m|220|1d6|N||Chromebook 1 pg.36
 CYBERHAND|OPTION|Extension Hand|EXT|Hand extends up to 1m|350|2|N||Cyberpunk 2020 pg.90
 CYBERHAND|OPTION|Finger Bomb|CDFB|HVY +0 - R 2d6+3 1 1 ST 3m|150|0|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|Finger Mace Sprayer|CDFM|P +0 - E Mace 2 1 ST 1m|150|0|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|Flare|CDFLR|150m altitude; 25m diameter (15eb)|200|2|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Flasher|CDFLH|DIFF REF to blind target for 1 min (25eb)|250|1|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Flesh Mount|CDFM|Allows cyberfingers to be mounted on meathand|100|1|M||Chromebook 4 pg.4
 CYBERHAND|OPTION|IR/UV Flashlight|CDIR|10m|200|1|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Laser Pointer|CDLP|20m|150|0.5|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Light Pen|CDLTP|used on computer screens|45|0.5|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|Lighter|CDLGH|2 hours of fuel; 1 eb/refill|105|2|N||Chromebook 2 pg.4
 CYBERHAND|OPTION|Lockpick|CDLKPK|Pick for mechanical locks|50|0.5|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|Mace Sprayer|CDMS|2 bursts; -4 REF\\& Notice for 1d6 turns|150|2|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|Mini Light|CDML|25m beam; batteries 1eb 105 .5 Chr1;IR/UV Flashlight;N 10m range|200|1|N||Chromebook 1 pg.32
 CYBERHAND|OPTION|One-Shot Special|CDOSS|P -2 P E1d6 (5mm) 1 1 ST 20m|250|2|N||Chromebook 4 pg.4
 CYBERHAND|OPTION|Parabolic Microphone|CDPMI|20x Microphone; for full arms|350|2|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Probe Link|CDPL|Interface link|150|0.5|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Quick Change Mount Digit|CDQCM|Click and turn mount; mod =120|150|1|N||Chromebook 2 pg.4
 CYBERHAND|OPTION|Quick-Change Mount|CLQCM|Cyberhand and cyberfoot only mount|450|3|MA||When Gravity Fails pg.61
 CYBERHAND|OPTION|Self-Propelled Grenade|CDGRN|7m range; 2d6 over 2m (25eb)|200|2|N||Chromebook 2 pg.4
 CYBERHAND|OPTION|Storage Compartment|CHSC|Small space|75|0.5|N||Chromebook 3 pg.22
 CYBERHAND|OPTION|Tentacle Finger|CDT|Can't have rippers;|500|1|N||Interface 2 Issue2 pg.4
 CYBERHAND|OPTION|Tentacle Finger, Extendable|CDTE|extend up to 30cm, requires a cyberhand. can't have rippers|750|1|N||Interface 2 Issue2 pg.4
 CYBERHAND|OPTION|Tracking Device|CDTD|3m range; 2 bugs; 3 km transmitter|300|0.5|N||Chromebook 2 pg.4
 CYBERHAND|OPTION|VidCam (+1 option)|CDVID|IR -200eb; Teleoptic - 225eb; or Lowlite -100|400|2|N||Chromebook 2 pg.4
 CYBERHAND|OPTION|Wirecutters/Scissors|CDWC|1d6/3damage|150|1|N||Chromebook 1 pg.32
 CYBERLIMB||Biomechanical Arm||10/15 SDP; 1d6 punch; 1d6 crush; 1/2 dam normal|0|1d6|CR|0|Interface 1 Issue2 pg.15
 CYBERLIMB||Biomechanical Cyberarm||20% EMP; 1d6 punch; 8 flesh + 8 SDP; 1 option|6000|2|CR|1|When Gravity Fails pg.62
 CYBERLIMB||Biomechanical Cyberleg||20% EMP; 2d6 kick; 8 flesh + 12 SDP; 1 option|4000|2|CR|1|When Gravity Fails pg.62
 CYBERLIMB||Corvette Cyberlegs (advan)||+8 MA; +2 on movement rolls|5000|3d6+4|CR|0|Chromebook 4 pg.5
 CYBERLIMB||Corvette Cyberlegs (advan) as upgrade||+8 MA; +2 on movement rolls|500|3d6+4|M|0|Chromebook 4 pg.5
 CYBERLIMB||Corvette Cyberlegs (basic)||+3 MA; +1 on movement rolls|4500|3d6|CR|0|Chromebook 4 pg.5
 CYBERLIMB||Enable Cyberarm||Early model. 23/33 SDP; REF -1|500|2d6+2|CR|0|Chromebook 3 pg.34
 CYBERLIMB||Enable Cyberleg||Early model. 28/35 SDP; REF -1; MA -2|700|3d6+3|CR|0|Chromebook 3 pg.34
 CYBERLIMB||Orbital Crystal Cyberarm||50/60 SDP; 4 option spaces; 1d6 punch|7000|2d6|CR|4|Chromebook 1 pg.57
 CYBERLIMB||Orbital Crystal Cyberleg||50/60 SDP; 3 option spaces; 2d6 kick|6000|2d6|CR|3|Chromebook 1 pg.57
 CYBERLIMB||Romanova Cyberlegs||+1 to Wardrobe\\& Style|5000|4d6|CRx2|3|Chromebook 3 pg.31
 CYBERLIMB||Soviet Cyberarm||SDP 30/40; 3d6 punch; 2d10 crush; 5% failure; 50% -1 ATT and 1d6 HC|669|2d6|CR|2|Chromebook 4 pg.7
 CYBERLIMB||Soviet Cyberleg||SDP 30/40; 3d10 kick; 5% failure; 2 spaces; 50% -1 ATT and 1d6 HC|875|2d6|CR|2|Chromebook 4 pg.7
 CYBERLIMB||Standard Cyberarm||20/30 SDP; 4 option spaces; 1d6 punch|3000|2d6|CR|4|Cyberpunk 2020 pg.88
 CYBERLIMB||Standard Cyberleg||20/30SDP; 3 option spaces; 2d6 kick|2000|2d6|CR|3|Cyberpunk 2020 pg.88
 CYBERLIMB||Super Sized Arm||SDP 30/40; -2 REF; +1EV; 2d10/3d6; SP 20|4000|2d6|CR|4|Chromebook 3 pg.25
 CYBERLIMB||Tentacle Arm||8x70 cm tentacles; SDP 5 each. SDP 20 shoulder|4000|5d6|CR|0|Interface 2 Issue2 pg.5
 CYBERLIMB||Tentacle Arm, Extendable||Same as Tentacle Arm plus can extend to 150 cm|6000|5d6|CR|0|Interface 2 Issue2 pg.5
 CYBERLIMB|BUILTIN|Audio/Video Recorder|AVR2|stores input from external mic, video cam or recording link|250|1|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|CapsuleCo CyberPillow||A pillow in an arm|80|0.5|M||Chromebook 3 pg.26
 CYBERLIMB|BUILTIN|Cellular Cybermodem|CMDC|Built in cellular deck|5000|1|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|Cutting Torch||Can cut through SP20|100|1d6/2+1|N||Chromebook 1 pg.36
 CYBERLIMB|BUILTIN|Cyberlimb Flashlight||Light built into palm; 3m range (0 spaces)|90|0.5|N||Interface 1 Issue4 pg.2
 CYBERLIMB|BUILTIN|Cybermodem|CMD|Built in cyberdeck|3000|1|N||Cyberpunk 2020 pg.90
 CYBERLIMB|BUILTIN|D-Tek Targeting Network||Negates movement firing modifiers|1300|1d6+3|M||Solo of Fortune 2 pg.25
 CYBERLIMB|BUILTIN|Digital Recorder|DGRC|Digital chip recorder. Download or erase chip|300|1|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|Hidden Holster|HOL|Weapon size based on Body Type|100|1|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|Icer||2m range|200|1d6/2|N||Chromebook 1 pg.36
 CYBERLIMB|BUILTIN|LCD Screen Readout|LCD|Can be linked to any output device|200|1|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|Laser Mike||60m range; Human Perception -5|400|1d6+2|N||Chromebook 2 pg.20
 CYBERLIMB|BUILTIN|Magnetic Hands/Feet||For easier Zero-Gee movement|60|0|N||Chromebook 1 pg.34
 CYBERLIMB|BUILTIN|Microwaldo Bracer||+1 to TECH rolls|800|3|N||Chromebook 3 pg.11
 CYBERLIMB|BUILTIN|MiniCam|CAM|Pop up Digital Camera (20 shots)|200|2|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|MiniVid|MVID|Pop up Mini video(30 minutes)|400|2|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|Quickdraw Holster||P class conc. +2 Initiative to fastdraw|200|0|N||Chromebook 2 pg.6
 CYBERLIMB|BUILTIN|SmartPlate Weapons Link||Smartgun= 3x cost|300|2|N||Chromebook 3 pg.23
 CYBERLIMB|BUILTIN|Storage Space|STR|2 in. x 6 in. storage space. Can be locked|50|0.5|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|Techscanner|TKSN|60% effective; -3 to repair difficulty|400|3|N||Cyberpunk 2020 pg.91
 CYBERLIMB|BUILTIN|ULF Antenna||100m reel antenna for transceiver|200|1|N||Firestorm: Stormfront pg.28
 CYBERLIMB|BUILTIN|Watch-Man||Miniature TV|180|1|N||Chromebook 1 pg.33
 CYBERLIMB|BUILTIN|Winch||15m cable; pulls up to 1 ton|500|1d6+3|N||Chromebook 2 pg.5
 CYBERLIMB|OPTION|360 Rotating Joints|RJ|+1 to Escaping; some TECH repairs (.5 spaces)|120|2|N||Chromebook 4 pg.6
 CYBERLIMB|OPTION|Armor Covering|ARM|SP 20; Can't have another covering.|200|1d6|N||Cyberpunk 2020 pg.91
 CYBERLIMB|OPTION|Artificial Shoulder Mount|ASHO|Mount up to 2 extra arms. 25 SDP|1500|2d6|CR||Cyberpunk 2020 pg.89
 CYBERLIMB|OPTION|Cyber Bar Leg|Corp Book L|Builtin wet bar|3000|2d6|CR||Interface 1 Issue3 pg.2
 CYBERLIMB|OPTION|Double-Jointed|DJ|+1 Grapple; Holds; Chokes; Escapes (.5spaces)|1000|1d6/2|N||Chromebook 4 pg.6
 CYBERLIMB|OPTION|Extending Leg Units|ELU|Alters height -1 to +3 ft. +1MA (2 spaces)|400|4|N||Chromebook 4 pg.6
 CYBERLIMB|OPTION|Extra Twist Joint Addition|ETJA|Adds +2 Athletic type rolls; MArt Grapples\\& Escapes 30%; add 10% to cost of limb.|0|1|N||Chromebook 4 pg.2
 CYBERLIMB|OPTION|Fleshweave|FW|Takes 1 option space. +50% repair costs; +20% limb cost in addition.|200|0|M||Chromebook 3 pg.21
 CYBERLIMB|OPTION|Gas Jet|GJ|P +0 - C by Gas 6 1 ST 2m|250|0|N||Chromebook 1 pg.34
 CYBERLIMB|OPTION|Hydraulic Rams|HRAM|30/40 SDP; 3x crush, punch, and kick damage|200|3|N||Cyberpunk 2020 pg.91
 CYBERLIMB|OPTION|Leg Boosters|LB|+3m leaps (2 spaces)|500|1d6|N||Chromebook 3 pg.24
 CYBERLIMB|OPTION|LimbLink|LMBL|Popup gun into a smartgun|100|1|N||Chromebook 1 pg.34
 CYBERLIMB|OPTION|Locking Joints|LKJT|25+ Strength Feat to move (.5 spaces)|100|0.5|N||Chromebook 4 pg.6
 CYBERLIMB|OPTION|Microwave/EMP shielding|MSR|Limb not as susceptible to EMP; Microwaves|300|1|N||Cyberpunk 2020 pg.89
 CYBERLIMB|OPTION|Plastic Covering|PSTK|In colors; transparent; etc. Cost range 1 -200eb.|100|1|N||Cyberpunk 2020 pg.89
 CYBERLIMB|OPTION|Popup Sliver Gun|PSG|P +0 - -2d6x1d6/2* 7 2 UR 40m|550|1d6+2|N||Chromebook 1 pg.42
 CYBERLIMB|OPTION|Quick Change Mount|QC|Allows 1 turn changing of cyberlimb|200|2|N||Cyberpunk 2020 pg.89
 CYBERLIMB|OPTION|RealSkinn Covering|REAL|Limblooks real. 70% effective (DIFF Awareness)|200|-1d6/2|N||Cyberpunk 2020 pg.90
 CYBERLIMB|OPTION|Reinforced Joints|RJ|SDP +5|200|1|N||Cyberpunk 2020 pg.89
 CYBERLIMB|OPTION|Sectional Cybernetics Mount|SCM|Cyberhand and cyberfoot only mount|300|3|MA||When Gravity Fails pg.61
 CYBERLIMB|OPTION|Speeding Bullet|SPB|MA 16; leap 10m; 1 option space left per leg|2499|2d6|N||Solo of Fortune pg.32
 CYBERLIMB|OPTION|Spiked Limb Cover|SLC|+1d6 grapple/holding damage|200|2|N||Interface 1 Issue4 pg.2
 CYBERLIMB|OPTION|Superchrome Covering|SUPR|High gloss metallic covering|200|3|N||Cyberpunk 2020 pg.90
 CYBERLIMB|OPTION|Tazer Grip|TZG|Punch Stun -2 1m|180|2d6-2|N||Chromebook 1 pg.38
 CYBERLIMB|OPTION|Tentacle Arm Sheath|TAS|Hides tentacles; resembles cyberarm; 2 openings|800|0|N||Interface 2 Issue2 pg.4
 CYBERLIMB|OPTION|The Crawler Surveillance Cyberhand|HND|Remote cyberhand|1500|1d6|N||Interface 2 Issue1 pg.2
 CYBERLIMB|OPTION|Thickened Myomar|THK|25/35 SDP; x2 crush, punch, kick.; Leap +50%|250|2|N||Cyberpunk 2020 pg.91
 CYBERLIMB|WEAPON|2 shot Capacitor Laser|LSR|shoulder mount; 3D6 damage|800|2d6|N||Cyberpunk 2020 pg.91
 CYBERLIMB|WEAPON|Flame thrower|FTH|2d6 damage turn 1; 1d6/2 for 2 more turns|600|2d6|N||Cyberpunk 2020 pg.91
 CYBERLIMB|WEAPON|Grenade Launcher|GLN|1 grenade|500|2d6|N||Cyberpunk 2020 pg.91
 CYBERLIMB|WEAPON|Micro-missile Launcher|MML|4 mini-missiles; 4D6 damage|900|2d6|N||Cyberpunk 2020 pg.91
 CYBERLIMB|WEAPON|Popup Gun|PUG|gun hidden in arm/leg base on Body Type. Cost range 200-800eb|500|2d6|N||Cyberpunk 2020 pg.91
 CYBERLIMB|WEAPON|Weapon Mount & Link|WML|Mounting with neural link for 1 weapon|100|3|N||Cyberpunk 2020 pg.91
 CYBERNETIC SYSTEM|OPTION|Electromagnetic Shielding|ES|-500 rads from radiation damage to cyberware; 50-200% Cost is 50%-200% of cyberware shielded.|0|0|N||Deep Space pg.77
 CYBERNETIC SYSTEM|OPTION|Etched Design|ED|-2000eb if done before installation|20000|0|N||Chromebook 1 pg.71
 CYBERNETIC SYSTEM|OPTION|Limblite|LMLT|Control Chip 700eb/Processor (1d6-1hc)1000|750|1-2|N||Chromebook 1 pg.71
 CYBERNETIC SYSTEM|OPTION|Waterproofing|WTP|100 meters; Streetwise 20 to find; +1EV to limbs; Cost is 200% of Cyberware|0|0|N||Firestorm: Stormfront pg.27
 CYBERNETIC SYSTEM|OPTION|Wetwiring|WTW|200 meters; Streetwise 20/25 to find. Cost is 300% of Cyberware|0|0|N||Firestorm: Stormfront pg.27
 CYBEROPTIC||Biomechanical Cyberoptic||10% chance affected by EMP weapons; 2 options|1000|2|MA||When Gravity Fails pg.62
 CYBEROPTIC||Bug Eye||Can hold 6 Options|750|3d6|MA|6|Chromebook 3 pg.23
 CYBEROPTIC||Cyberoptic||Basic eye module (4 option spaces per eye)|500|2d6|MA|4|Cyberpunk 2020 pg.86
 CYBEROPTIC||Kiroshi MonoVision||6 option spaces; +1 Notice; +Initiative vs Ambush|650|3d6|MA|6|Chromebook 4 pg.9
 CYBEROPTIC||Kiroshi Optics \"Tricloptics\" Third Eye||-1ATTR/eye; max 2 extra|750|3d6+|CR|2|Chromebook 3 pg.28
 CYBEROPTIC||Life Vision Revelation Cyberoptic||Early model. +1 Notice; ATTR -1;-2|700|3d6-1|MA||Chromebook 3 pg.36
 CYBEROPTIC||Remote Eye||1 space left; 100m transmission|1500|3d6|MA|1|Chromebook 2 pg.9
 CYBEROPTIC||Soviet Cyberoptic||1 option space per eye; 50% chance of -1ATTR and HC+1d6|100|2d6|MA|1|Chromebook 4 pg.7
 CYBEROPTIC|OPTION|Anti-Dazzle|AD|Immune to flash; laser blinding|200|0.5|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Color Shift|CF|Allows color changes; special fashion effects|300|0.5|N||Cyberpunk 2020 pg.86
 CYBEROPTIC|OPTION|Cyberoptic Compass|CMP|1 space;2 for logo compass|300|1|N||Chromebook 3 pg.24
 CYBEROPTIC|OPTION|Dartgun|DE|Holds 1 poison dart. Range 1m (3 spaces)|200|2|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Digital Camera|DC|Shoots up to 20 images (2 spaces)|300|0.5|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Dodgeball|DB|+1 to Hand to Hand skill after 30 secs|440|1|N||Chromebook 1 pg.39
 CYBEROPTIC|OPTION|Hydrosubsidium Aquagoggs|HSA|Synthetic nictitating membranes; good to 200m|200|1|N||Firestorm: Stormfront pg.28
 CYBEROPTIC|OPTION|Image Enhancement|IE|+2 Awareness/Notice when using visual search|300|1|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Infrared|IR|See in total darkness; using heat emissions|200|1|N||Cyberpunk 2020 pg.86
 CYBEROPTIC|OPTION|Kiroshi Optics Cyberoptic Interferometry System|KOCI|10x vision all the time|400|1|M||Chromebook 3 pg.27
 CYBEROPTIC|OPTION|Laser-Comm Optic|LCC|50m range; and can blind. Code chips are 175|425|1|M||Chromebook 3 pg.24
 CYBEROPTIC|OPTION|Live Feed Optic|LFO|2 mile range|1000|1|M||Interface 2 Issue1 pg.3
 CYBEROPTIC|OPTION|Low Lite|LL|See in dim light; almost total darkness|200|0.5|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Micro-optics|ME|Microscope|150|0.5|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|MicroVideo|MV|Video record up to 20 min (2 spaces)|300|0.5|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Nikkon Double-Slit Pupils|DSP|Allows clear vision through air-water boundary (1)|200|0.5|N||Chromebook 4 pg.10
 CYBEROPTIC|OPTION|Optical Interface|OI|Interface plug behind the optic|600|2d6+2|MA||Chromebook 3 pg.27
 CYBEROPTIC|OPTION|Targeting Scope|TA|+1 on all Smartgun attacks|400|2|N||Cyberpunk 2020 pg.86
 CYBEROPTIC|OPTION|Tear Gas Sprayer|TGS|1m range(2 spaces)|200|2|N||Chromebook 1 pg.39
 CYBEROPTIC|OPTION|Teleoptics|TE|Telescope ability to 20x|150|0.5|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Thermograph Sensor|TH|See heat patterns; temperature readings|200|1|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Times Square Marquee|TS|LED Screen in vision field for messages|300|1|N||Cyberpunk 2020 pg.86
 CYBEROPTIC|OPTION|Times Square Plus|TSP|Allows visual information retrieval (3 spaces)|500|2|N||Chromebook 1 pg.38
 CYBEROPTIC|OPTION|Ultra Violet|UV|See in darkness; using UV flash|200|1|N||Cyberpunk 2020 pg.87
 CYBEROPTIC|OPTION|Vacuum Proof Optic|VPO|Required for Vac Weave. 4 option spaces; used with Vac Weave|600|2d6|MA||Deep Space pg.60
 CYBEROPTIC|OPTION|Verbal-Eyes (Basic)|VEB|Displays images; -1 space|750|3|M||Chromebook 3 pg.32
 CYBEROPTIC|OPTION|Verbal-Eyes (Cust. image)|VEC|4 spaces; Times Square Plus|1200|5|M||Chromebook 3 pg.32
 CYBEROPTIC|OPTION|Verbal-Eyes (Vid Image)|VEVI|3spaces; + Video Imager|1000|5|M||Chromebook 3 pg.32
 CYBEROPTIC|OPTION|Video Cam/Transmitter|VCT|Live feed 1m range (4 spaces)|330|1|N||Chromebook 1 pg.39
 CYBEROPTIC|OPTION|Video Imager|VI|Receives vid images(2 spaces)|350|2|N||Chromebook 1 pg.39
 CYBERVOCAL||Audio Vox|LS|For special effects. +2 to Performance|700|2d6|M||Cyberpunk 2020 pg.85
 CYBERVOCAL||Cybervocal 'Box Alter'||1 option; 1 voice|400|1d6+2|CR|1|Interface 1 Issue3 pg.2
 CYBERVOCAL||Dakai /Cyphire NewThroat||Hold 3 implants/options at 1/4 Eb; 0 HC;15 SDP|850|2d6|CR|3|Chromebook 4 pg.8
 CYBERVOCAL|OPTION|Altering Voice Patterns|AVP|Requires Audio Vox and Voice Pattern.|1050|2d6+2|M||Wildside pg.65
 CYBERVOCAL|OPTION|Armor|AR|New Throat only; 20SP|150|1d6|N||Interface 1 Issue3 pg.2
 CYBERVOCAL|OPTION|Dakai Scramble|SCR|A Vox/New Throat options; scrambles voice|50|2|N||Chromebook 4 pg.8
 CYBERVOCAL|OPTION|Forked Tongue|FT|A Vox/New Throat option; +1 to persuasion/seduction|350|2|M||Chromebook 1 pg.35
 CYBERVOCAL|OPTION|Subsonic|SUB|Only heard with subsonic hearing|150|1d6|N||Interface 1 Issue3 pg.2
 CYBERVOCAL|OPTION|Voice Pattern|VP|A Vox/New Throat option; allows voice pattern emulation|350|2|M||Chromebook 1 pg.35
 CYBERVOCAL|OPTION|Voice Synthesizer|VS|Can mimic (60%) up to 10 recorded sounds|600|1d6|M||Cyberpunk 2020 pg.85
 CYBERVOCAL|OPTION|Volume|VOL|Whisper to megaphone; deaf for 1d6 turns;5m|75|2|N||Interface 1 Issue3 pg.2
 CYBERWEAPON||Big Knucks|BCN|Punch 1d6+2|500|3d6|M||Cyberpunk 2020 pg.86
 CYBERWEAPON||BigRipp (body weapon)||Carbo-glass blade. 2d6; 1/2SP (break 1-3)|850|3d6+1|M||Chromebook 4 pg.11
 CYBERWEAPON||BigRipp (cyberlimb weapon)||2d6* damage (break on 1 or 1-3 on a parry)|1200|3d6+1|MA||Chromebook 4 pg.11
 CYBERWEAPON||Blitzkrieg Arc-Thrower||EX +0 - R 3d6 (1/2 real 1/2 stn) 4 1 ST 10m|10|0|||Chromebook 4 pg.12
 CYBERWEAPON||Bonespike||Punch 1d6+4* 1m|1000|2d6|||Chromebook 3 pg.25
 CYBERWEAPON||ChainRipp||Punch 3d6(1/3SP) 1m|1250|2d6+4|||Chromebook 3 pg.29
 CYBERWEAPON||Cybersnake|CSN|1d6 damage. 1m range|1200|4d6|MA||Cyberpunk 2020 pg.86
 CYBERWEAPON||Cyphire Retractable Spitting Cobra||Retractable vampires that spit chemicals 6ft|700|4d6|MA||Chromebook 3 pg.27
 CYBERWEAPON||Cyphire Spitting Cobra||Vampires that spit chemicals 6ft; as airgun pellet|400|4d6|M||Chromebook 3 pg.27
 CYBERWEAPON||Extended Canines||Grapple 1d6/2+1*.5m|1000|3d6+2|||Chromebook 2 pg.9
 CYBERWEAPON||Extended Sharkgrin Special||Mouth. 1d6*damage. Retractable|1400|4d6|CR||Chromebook 2 pg.9
 CYBERWEAPON||Flashbulb||P +0 - C COOL 30; 1d6 min - 1 ST 6m|250|0|N||Chromebook 1 pg.35
 CYBERWEAPON||Gang Jazzler||Punch Special 1m|600|2d6+3|N||Chromebook 1 pg.40
 CYBERWEAPON||High Five, AKA The Palm Bomb||20-30 to detect. .477 or 12ga round; 1 shot|355|1d6+3|N||Chromebook 4 pg.11
 CYBERWEAPON||Hollow Claws||Connected to poison sac/gland; 1d6/3* damage|250|2d6|M||When Gravity Fails pg.59
 CYBERWEAPON||Hollow Vampires||Linked to poison sac or gland|50|1|N||When Gravity Fails pg.59
 CYBERWEAPON||IEC Venom Hand||Punch 1d6-1/by Drug 1m|600|2d6|||Corp Book 2 pg.70
 CYBERWEAPON||Mace Hand||Punch 1d10-2/2d6+11/2m|300|3|||Chromebook 1 pg.36
 CYBERWEAPON||Mandibles||2d6 damage bite; look normal except for eating|1200|5d6|MA||Interface 2 Issue2 pg.4
 CYBERWEAPON||NewTeeth||Ceramic teeth: MEL -1 NA C 1-2* NA 1 VR touch|200|1d6/2|M||Chromebook 4 pg.7
 CYBERWEAPON||Pop -Up Hand Crossbow||-2 J E1d6+2 6 2 VR 25m (3 spaces)|300|2d6|N||Solo of Fortune 2 pg.39
 CYBERWEAPON||Power Jaw||Myomer jaw muscles; +2 to bite damage|100|1d2|MA||Chromebook 4 pg.7
 CYBERWEAPON||Retractable Vampires/Sharkgrin||Mouth. 1d6/3* to1d6* bite damage. Retractable|500|2d6+2|MA||Chromebook 2 pg.9
 CYBERWEAPON||Rippers|RIP|1d6+3* damage|400|3d6|M||Cyberpunk 2020 pg.86
 CYBERWEAPON||Scratchers|SCR|Punch 1d6/3* 1m|100|2d6|N||Cyberpunk 2020 pg.85
 CYBERWEAPON||Slice N' Dice|SND|2d6# 2m|700|3d6|M||Cyberpunk 2020 pg.86
 CYBERWEAPON||SovWear Cyberarm||Punch 3d6; 6d6 crush 1m|1000|2d6|||Solo of Fortune pg.7
 CYBERWEAPON||SovWear Cyberleg||Kick 6d6 1m|1500|2d6|||Solo of Fortune pg.7
 CYBERWEAPON||Stinger||Fingermounted Hypodermic needle (3 doses)|400|1d6+3|M||Chromebook 4 pg.10
 CYBERWEAPON||Tri -Dart Launcher||3 darts;1d6/2 damage; 1/3 SP|300|1d6/2|N||Chromebook 2 pg.6
 CYBERWEAPON||Vampires - Canines|VAM-C|damage 1d6/3*|200|3d6|N||Cyberpunk 2020 pg.86
 CYBERWEAPON||Vampires - Sharkgrin Special|VAM-SS|damage 1d6/2*|200|3d6|N||Cyberpunk 2020 pg.86
 CYBERWEAPON||Whip||MEL 1d6/2;1d6 2m|475|2d6|N||Chromebook 1 pg.34
 CYBERWEAPON||Wolvers|WLV|3d6* damage|600|3d6+1|M||Cyberpunk 2020 pg.86
 EXOTIC BODYSCULPT||Bear Package||Muzzle; fangs; claws; fur; taller; grafted muscle|24500|13d6|CR + MA + Mx3 + Nx2||Chromebook 2 pg.106
 EXOTIC BODYSCULPT||Big Katt||Muzzle; fangs; claws; tail; digitigrade legs; fur|21000|19d6|CR + MA + Mx3 + N||Chromebook 2 pg.107
 EXOTIC BODYSCULPT||Dragon-Man|||16000|9d6|1MA, 2M, 2N||Chromebook 2 pg.109
 EXOTIC BODYSCULPT||Dwarf/Halfling||Shorter\\& stockier frame (MA-2); broader features|9000|2d6+1d6/2|CR + M||Chromebook 2 pg.105
 EXOTIC BODYSCULPT||Elf||Pointed ears; thin face; upturned eyebrows|1000|1d6/2|M||Chromebook 2 pg.105
 EXOTIC BODYSCULPT||Fishman||Gills; synthskin; webbing; custom contacts|2000|4d6+1d6/2|MA + M + Nx2||Chromebook 2 pg.106
 EXOTIC BODYSCULPT||Franz Kafka Bughouse||as Slight Buggy; + mandibles; exoskeleton; scratchers|35500|15d6|CRx2 + MAx2 + M + N||Chromebook 2 pg.108
 EXOTIC BODYSCULPT||KatNip - Feline||Slit-eyes; pointed ears; tail; synthskin; scratchers|3400|4d6+1d6/2|MA + M + Nx2||Chromebook 2 pg.104
 EXOTIC BODYSCULPT||LupaForm Major Package||as minor form; + muzzle; tail; digitgrade legs; fur|20000|15d6|CR + MAx2 + M + Nx2||Chromebook 2 pg.109
 EXOTIC BODYSCULPT||LupaForm Minor Package||Pointed ears; dog-nose\\& eyes; fangs; synthskin|1900|3d6+1d6/2|M + Nx2||Chromebook 2 pg.109
 EXOTIC BODYSCULPT||Merman||Gills; skinchange; fishtail; cust. contacts; sonar|18900|10d6+1d6/2|CRx2 + MA + M + Nx2||Chromebook 2 pg.108
 EXOTIC BODYSCULPT||Ork/Goblin||Broad features; longer arms; fangs; synthskin|10900|6d6|CR + M + Nx2||Chromebook 2 pg.106
 EXOTIC BODYSCULPT||Playbeing|||3000|3d6+1d6/2|MA + Nx4||Chromebook 2 pg.110
 EXOTIC BODYSCULPT||Rabbit||Bunny ears\\& tail; button nose; whiskers|1250|1d6|Mx2||Chromebook 2 pg.105
