  name|type|category|subcategory|wa|conc|avail|damage|ammo|shots|rof|rel|range|cost|source
  Sternmeyer M-5A Squad Automatic Weapon|HVY|MACHINEGUNS||-1|N"|R|6d6+2|7.62mm|200|20|ST|500|1000|BH pg.34
  Towa Manufacturing Type-8 Medium Machine Gun|HVY|MACHINEGUNS||1|N"|P|6d6+2|7.62mm|100|35|VR|500|2500|BH pg.34
  3/6 (TM)|MEL|MELEE||0|N"|C|3d6+2||0|0|VR|2|150|PAC pg.151
  Ashiko|MEL|MELEE||0|J"|C|1d6*||0|0|ST|1|28|PAC pg.152
  Axe|MEL|MELEE||-1|N"|C|2d6||0|0|ST|0|20|BH pg.2
  Ba Zhan Shuang Dao|MEL|MELEE||0|L"|C|2d6||0|0|ST|1|45|PAC pg.150
  Bagh-Nakh|MEL|MELEE||2|P"|P|1d6/3*||0|0|ST|1|15|PAC pg.151
  Bayonet/Survival Knife|MEL|MELEE||0|J"|C|1d6||0|0|VR|0|50|BH pg.2
  Bo-Shuriken|MEL|MELEE||0|P"|C|1d6||0|0|ST|0|7|PAC pg.151
  Brass Knuckles|MEL|MELEE||0|P"|C|1d6+2||0|0|ST|0|10|BH pg.2
  Chainsaw|MEL|MELEE||-3|N"|C|4d6||0|0|ST|2|80|BH pg.2
  Club|MEL|MELEE||0|L"|C|1d6||0|0|ST|0|0|BH pg.2
  Combat Knife|MEL|MELEE||1|J"|P|1D6+3||0|0|ST|1|70|PAC pg.150
  Entrenching Tool|MEL|MELEE||-1|L"|C|2d6||0|0|ST|0|50|BH pg.2
  Excalibur Macestick|MEL|MELEE||0|J"|P|Gas||6|1|ST|0|80|BH pg.2
  Excalibur Nightstick|MEL|MELEE||0|J"|P|2d6+3||0|0|VR|0|80|BH pg.2
  Excalibur Taserstick|MEL|MELEE||0|J"|P|Stun||8|1|ST|0|80|BH pg.2
  Fang Tian Ji/Qiang Ji|MEL|MELEE||0|N"|P|3d6||0|0|ST|2|95|PAC pg.150
  Hambo|MEL|MELEE||1|L"|C|2d6||0|0|ST|1|30|PAC pg.151
  Hyo|MEL|MELEE||-2|P"|C|1d6/3||0|0|ST|0|5|PAC pg.151
  IMI 'Chainknife'|MEL|MELEE||0|J"|P|2d6+1||0|0|VR|0|120|BH pg.2
  Jitte|MEL|MELEE||0|L"|C|2d6||0|0|ST|1|30|PAC pg.151
  Jiu Jie Bian|MEL|MELEE||-2|L"|C|3d6||0|0|ST|2|120|PAC pg.151
  Juji-Shuriken|MEL|MELEE||0|P"|C|1d6/2||0|0|ST|0|3|PAC pg.151
  Kendachi M-33 Powersword|MEL|MELEE||0|L"|R|4d6 (Sx1/4 Hx1/2)||0|0|ST|0|860|BH pg.3
  Kendachi Mono-Two: Katana|MEL|MELEE||1|N"|R|4D6||0|0|VR|0|700|BH pg.3
  Kendachi Mono-Two: Wakizashi|MEL|MELEE||1|J"|P|2d6||0|0|VR|0|650|BH pg.3
  Kendachi MonoKatana|MEL|MELEE||1|N"|R|4d6||0|0|VR|0|600|BH pg.3
  Kendachi Monoknife|MEL|MELEE||1|P"|P|2d6||0|0|VR|1|200|CP20 pg.3
  Kendachi MonoNaginata|MEL|MELEE||1|N"|R|4d6||0|0|VR|2|700|BH pg.3
  Kendachi Monowhip|MEL|MELEE||0|J"|P|2d6||0|0|ST|3|350|BH pg.3
  Knife|MEL|MELEE||0|P"|C|1d6||0|0|ST|0|10|BH pg.2
  Kukri|MEL|MELEE||0|L"|P|2d6||0|0|ST|1|100|PAC pg.76
  Kusari-gama|MEL|MELEE||-1|L"|C|2d6*||0|0|ST|2|100|PAC pg.150
  Leg & Knee Spikes|MEL|MELEE||0|N"|C|1d6+3||0|0|ST|1|25|PAC pg.152
  Liu Chi Bang|MEL|MELEE||1|L"|C|3d6+2||0|0|ST|2|40|PAC pg.151
  Manriki-Gusari|MEL|MELEE||0|J"|P|2d6+3||0|0|ST|1|30|PAC pg.151
  Monosword Cane|MEL|MELEE||1|L"|P|3d6||0|0|VR|1|255|SOF2 pg.29
  Mystic Tech Nunchaku/Blade|MEL|MELEE||0|L"|P|1d6+1||0|0|VR|1|200|BH pg.3
  Mystic Tech Spring Knife|MEL|MELEE||0|P"|C|1d6||0|0|ST|5|125|BH pg.3
  Naginata|MEL|MELEE||0|N"|P|3d6||0|0|ST|2|100|BH pg.2
  Nomad Smartwhip|MEL|MELEE||0|J"|C|1d6+2||0|0|ST|3|600|BH pg.3
  Nunchaku|MEL|MELEE||0|L"|C|3d6||0|0|ST|0|15|BH pg.2
  Qing Long Dao|MEL|MELEE||-2|N"|P|4d6||0|0|ST|0|450|PAC pg.150
  Ri Yue Hu Xing JIan|MEL|MELEE||-1|J"|P|1d6/2||0|0|ST|1|25|PAC pg.150
  Sai|MEL|MELEE||0|J"|C|2d6+2||0|0|ST|0|20|PAC pg.150
  San Jie Gun|MEL|MELEE||0|N"|C|3d6+2||0|0|ST|2|50|PAC pg.151
  Shuriken|MEL|MELEE||0|P"|C|1D6/3||0|0|ST|0|3|BH pg.2
  SlamDance, Inc. Spawnblade|MEL|MELEE||0|J"|P|1d6||0|0|ST|0|450|BH pg.4
  Sledgehammer|MEL|MELEE||-2|N"|C|4d6||0|0|ST|0|20|BH pg.2
  Spiked Boots|MEL|MELEE||0|N"|C|1d6+2||0|0|ST|1|20|PAC pg.152
  Spiked Cestus|MEL|MELEE||0|P"|P|1d6*||0|0|ST|1|20|PAC pg.151
  SPM-1 Battleglove|MEL|MELEE||-2|N"|P|2d6||0|0|VR|1|900|BH pg.4
  SPM-2 Battleglove Plus|MEL|MELEE||-1|N"|P|2d6||0|0|VR|1|970|PAC pg.151
  Steel Bayonet|MEL|MELEE||-2|J"|C|3d6||0|0|VR|1|15|HOB pg.83
  Switchblade|MEL|MELEE||0|P"|C|1d6/2||0|0|ST|0|15|BH pg.2
  Sword|MEL|MELEE||0|N"|C|2D6+2||0|0|ST|0|110|BH pg.2
  Tekko|MEL|MELEE||0|J"|C|1d6/2*||0|0|ST|1|25|PAC pg.151
  Tessen/Duo Ming Shan|MEL|MELEE||0|J"|C|1d6+2||0|0|ST|1|60|PAC pg.151
  Tetsubishi|MEL|MELEE||-1|P"|C|1d6/2||0|0|ST|0|6|PAC pg.151
  Tonfa|MEL|MELEE||0|L"|C|2d6||0|0|ST|0|15|BH pg.2
  Utility Sword/Machete|MEL|MELEE||0|L"|C|1D6+3||0|0|ST|0|60|BH pg.4
  wakizashi|MEL|MELEE||1|L"|R|3d6||0|0|VR|1|100|SW pg.80
  Wu Cha|MEL|MELEE||-1|N"|P|2d6||0|0|ST|2|100|PAC pg.150
  Zhi Dan|MEL|MELEE||0|N"|E|1d6/2||0|0|ST|0|0|PAC pg.151
  Zhi Dao|MEL|MELEE||0|L"|C|2d6||0|0|ST|0|150|PAC pg.150
  SlamDance, Inc. Hyper-Hammer|MEL|MELEE|Borg Weapon|-2|L"|R|9D10||2|1|ST|2|2000|BH pg.38
  Magnum Opus 'Big Government'|P|PISTOLS|Borg Weapon|0|J"|P|6d6|14mm|13|2|VR|60|2000|BH pg.38
  Magnum Opus 'Hellbringer' .666 Magnum Revolver|P|PISTOLS|Borg Weapon|1|J"|P|7d6+3|.666|3|1|VR|80|4000|BH pg.38
  BudgetArms Auto 3|P|PISTOLS|HEAVY|-1|J"|E|3d6|11mm|8|2|UR|50|350|BH pg.14
  Dai Lung Magnum|P|PISTOLS|HEAVY|1|J"|E|3d6+1|.357 Mag CS|10|2|UR|50|60|BH pg.14
  Espinoza One Shot|P|PISTOLS|HEAVY|-1|J"|E|3d6|.50 short|1|1|UR|50|75|BH pg.14
  Malorian Arms Heavy Flechette|P|PISTOLS|HEAVY|1|J"|C|1d6+1|4mm Flechette|25|2|ST|50|595|BH pg.14
  Mustang Arms 'Mark II'|P|PISTOLS|HEAVY|1|J"|C|3d6|11mm|12|3|VR|50|425|BH pg.15
  Nova Model 338 Citygun|P|PISTOLS|HEAVY|1|J"|P|3d6|.338|7|3|VR|50|460|BH pg.15
  Nova Model 757 Cityhunter|P|PISTOLS|HEAVY|2|J"|P|3d6|11mm|18|2|ST|50|480|BH pg.15
  S+W Handcannon undermount|P|PISTOLS|HEAVY|1|N"||2d6+2|.45 ACP |10|2|UR|50|0| pg.0
  Stein & Wasserman Bi-Power Handcannon|P|PISTOLS|HEAVY|0|J"|P|4d6|.44 Mag|6|2|UR|50|850|BH pg.15
  Sternmeyer P-35|P|PISTOLS|HEAVY|0|J"|C|3d6|11mm|8|2|VR|50|400|BH pg.15
  Tsunami Arms 'Raimei' Ramjet Pistol|P|PISTOLS|HEAVY|2|L"|P|5d6|10mm Ramjet|6|2|VR|100|1100|BH pg.16
  Astra Style-6|P|PISTOLS|LIGHT|-1|P"|E|1d6|.22[5mm]|6|2|UR|50|75|BH pg.10
  BudgetArms C-13|P|PISTOLS|LIGHT|-1|P"|E|1d6|.22[5mm]|8|2|ST|50|75|BH pg.10
  Colt .38 'Detective'|P|PISTOLS|LIGHT|1|J"|C|1d6+2|.38/7mm|6|1|VR|50|200|CP20 pg.66
  Dai Lung Cybermag 15 P -1 (Caseless)|P|PISTOLS|LIGHT|0|P"|C|1d6+1|6mm|10|2|UR|50|50|BH pg.10
  Federated Arms Impact|P|PISTOLS|LIGHT|1|J"|E|1d6|.22[5mm]|10|2|VR|50|60|BH pg.10
  Federated Arms X-22|P|PISTOLS|LIGHT|0|J"|E|1d6+1|6mm|10|2|ST|50|100|BH pg.10
  Federated Arms X-38|P|PISTOLS|LIGHT|1|J"|E|2d6|.38|10|2|ST|50|35|BH pg.10
  Towa Manufacturing type-12 Police Pistol|P|PISTOLS|LIGHT|3|J"|P|1d6+1|6mm|6|2|VR|50|450|BH pg.10
  Arasaka WSA Autopistol|P|PISTOLS|MEDIUM|0|J"|C|2d6+3|10mm|15|2|VR|50|400|BH pg.10
  Beretta M97P|P|PISTOLS|MEDIUM|2|J"|P|2d6+1|9mm|18|2|VR|50|480|BH pg.11
  Beretta Plas 9 Fashion|P|PISTOLS|MEDIUM|-1|P"|P|2d6+1|9mm|10|1|ST|50|200|UK pg.36
  BudgetArms C-41|P|PISTOLS|MEDIUM|1|J"|E|2d6+1|.41C|10|3|VR|50|600|BH pg.11
  BudgetArms Laser-Niner|P|PISTOLS|MEDIUM|1|J"|P|2d6+1|9mm|15|20|ST|50|675|BH pg.11
  C.O.P. .357 Derringer|P|PISTOLS|MEDIUM|0|P"|C|2d6+3|.357|4|1|VR|50|250|CP20 pg.66
  Calico 9mm Assault Pistol|P|PISTOLS|MEDIUM|-1|L"|C|2d6+1|9mm|50|2|VR|50|450|NEO pg.65
  CCMMC Goaxing Xuixi CM-3|P|PISTOLS|MEDIUM|0|J"|C|2d6+1|9mm|8|2|ST|50|75|BH pg.11
  Colt .45 'Peacemaker'|P|PISTOLS|MEDIUM|0|J"|R|2d6+2|.45|6|1|VR|50|100|CP20 pg.66
  Colt Alpha-Omega Competition Pistol .45|P|PISTOLS|MEDIUM|2|J"|C|2d6+2|.45 ACP |10|2|VR|50|500|BH pg.11
  Colt Alpha-Omega Competition Pistol 10mm|P|PISTOLS|MEDIUM|2|J"|C|2d6+3|10mm|10|2|VR|50|500|BH pg.11
  Colt Enforcement 10|P|PISTOLS|MEDIUM|1|J"|C|2d6+3|10mm|14|2|VR|50|550|BH pg.11
  Dai Lung Streetmaster|P|PISTOLS|MEDIUM|0|J"|E|2d6+3|10mm|12|2|UR|50|250|BH pg.11
  Fashion Gun 9|P|PISTOLS|MEDIUM|0|P"|E|2d6+1|9mm|7|2|UR|25|40|BH pg.11
  Federated Arms X-9|P|PISTOLS|MEDIUM|0|J"|E|2d6+1|9mm|12|2|ST|50|300|BH pg.11
  FN Browning '3-Spot' (Caseless)|P|PISTOLS|MEDIUM|1|J"|C|2d6+3|10mm|24|3|ST|50|425|BH pg.11
  FN High Power|P|PISTOLS|MEDIUM|1|J"|C|2d6+1|9mm|14|1|VR|50|150|UK pg.37
  Glock 30 Machine Pistol|P|PISTOLS|MEDIUM|2|P"|C|2d6+3|10mm|20|1|VR|50|705|BH pg.12
  Goncz-Taurus Pistol|P|PISTOLS|MEDIUM|0|J"|E|2d6+1|9mm|15|2|ST|50|275|BH pg.12
  Goncz-Taurus Pistol, Selective-Fire|SMG|PISTOLS|MEDIUM|-1|J"|C|2D6+1|9mm|15|10|ST|50|400|BH pg.12
  Hammer M-11 Bolt Pistol|P|PISTOLS|MEDIUM|2|J"|P|1d6+2|9mm Bolt|10|2|ST|30|320|BH pg.12
  IMI Gamad|P|PISTOLS|MEDIUM|1|P"|E|2d6+3|10mm|7|2|VR|50|575|BH pg.12
  Kang Tao type 97|P|PISTOLS|MEDIUM|1|J"|E|2d6+1|9mm|10|2|UR|50|35|BH pg.12
  LeRoi Maxi-10|P|PISTOLS|MEDIUM|-1|J"|E|2d6+3|10mm|10|2|UR|50|150|BH pg.12
  Militech Arms Avenger|P|PISTOLS|MEDIUM|0|J"|E|2d6+1|9mm|10|2|VR|50|250|BH pg.12
  Militech Black Widow Flechette Pistol|P|PISTOLS|MEDIUM|1|J"|P|1d6/2|Flechette|10|1|ST|30|400|BH pg.12
  Militech Silver Shadow Flechette|P|PISTOLS|MEDIUM|0|J"|P|(1d6/2)+2 x 1d6/3|3mm Flechette|8|1|ST|30|300|BH pg.12
  Nomad .357 Magnum Autoloader|P|PISTOLS|MEDIUM|0|J"|C|2d6+3|.357 Mag|8|2|VR|50|300|BH pg.12
  Nomad .357 Magnum Revolver|P|PISTOLS|MEDIUM|0|J"|C|2d6+3|.357 Mag|6|2|VR|50|250|BH pg.13
  S&W Combat Magnum|P|PISTOLS|MEDIUM|1|J"|C|2d6+3|.357|6|1|VR|50|125|CP20 pg.66
  Sci Fi Starrior 4|P|PISTOLS|MEDIUM|0|J"|E|2d6+1|9mm|12|2|UR|50|60|BH pg.13
  Stein & Wasserman 'Tri-Star' Revolver|P|PISTOLS|MEDIUM|0|J"|C|2d6|.410ga|6|2|ST|50|275|BH pg.13
  Sternmeyer P-41 Autoloading Pistol|P|PISTOLS|MEDIUM|0|J"|C|2d6+3|10mm|12|2|VR|50|425|BH pg.13
  Stolbovoy St-2 Pistol|P|PISTOLS|MEDIUM|0|J"|C|2d6+3|10mm|14|2|VR|50|450|BH pg.13
  Surprising Stranger|P|PISTOLS|MEDIUM|0|P"|E|2d6+3|10mm|4|2|ST|25|30|BH pg.13
  Teen Dreem|P|PISTOLS|MEDIUM|-1|J"|E|2d6+1|9mm|10|2|UR|50|36|BH pg.13
  Texas Arms Model-351 Gyrojet Pistol|P|PISTOLS|MEDIUM|0|J"|C|2d6+1|9mm Gyro|8|2|UR|50|420|BH pg.13
  Towa Manufacturing Type-13 Police Pistol|P|PISTOLS|MEDIUM|2|J"|P|2d6+3|10mm|12|2|VR|50|500|BH pg.13
  Towa Manufacturing type-14 Pistol|P|PISTOLS|MEDIUM|2|J"|P|2d6+1|9mm|16|16|VR|50|520|BH pg.13
  Tsunami Express Racegun|P|PISTOLS|MEDIUM|3|L"|P|2d6+3|5.2mm ET|24|3|VR|5|5300|BH pg.14
  Wondernnine|P|PISTOLS|MEDIUM|1|J"|E|2d6+1|9mm|17|2|VR|50|240|BH pg.14
  454 Magnum Disposable|P|PISTOLS|VERY HEAVY|-2|P"|R|4d6+3|.454|2|1|VR|40|100|BH pg.16
  Ameritech Magnum|P|PISTOLS|VERY HEAVY|1|J"|R|4d6+3|.454|5|2|VR|50|1000|BH pg.16
  Armalite 44|P|PISTOLS|VERY HEAVY|0|J"|E|4d6+1|12mm|8|1|ST|50|450|BH pg.16
  Colt AMT Model 2000|P|PISTOLS|VERY HEAVY|0|J"|C|4d6+1|12mm|8|1|VR|50|500|BH pg.16
  Constitution Arms Multi Ammunition Pistol|P|PISTOLS|VERY HEAVY|0|J"|P||12mm varies|5|1|VR|50|525|BH pg.16
  Federated Arms 454 DA 'Super Chief'|P|PISTOLS|VERY HEAVY|0|J"|P|4d6+3|.454|5|1|VR|50|375|BH pg.16
  Llama Commanche|P|PISTOLS|VERY HEAVY|0|J"|C|4d6|.44|6|1|ST|50|200|CP20 pg.66
  Malorian Arms 3516|P|PISTOLS|VERY HEAVY|-1|J"|R|6d6|14mm|6|1|VR|50|4525|BH pg.16
  Militech .477 Boomer-Buster (Caseless)|P|PISTOLS|VERY HEAVY|-1|J"|P|5d6|.477|4|1|VR|50|450|BH pg.17
  Nomad .44 Magnum Revolver|P|PISTOLS|VERY HEAVY|0|J"|P|4d6|.44|6|1|VR|50|375|BH pg.17
  Nova Arms 'Arno' .454 Plasmatic Magnum|P|PISTOLS|VERY HEAVY|1|J"|P|6d6+3|.454 ET|6|2|VR|100|1799|BH pg.17
  Nova Arms 'Bronson' .41 Plasmatic Magnum|P|PISTOLS|VERY HEAVY|1|J"|P|5d6|.41 ET|6|1|VR|80|1199|BH pg.17
  Nova Arms 'Eastwood' .44 Plasmatic Magnum|P|PISTOLS|VERY HEAVY|1|J"|P|6d6|.44 ET|6|1|VR|80|1499|BH pg.17
  Nova Arms 'Stallone' .357 Plasmatic Magnum|P|PISTOLS|VERY HEAVY|1|J"|P|4d6|.357 ET|6|1|VR|60|999|BH pg.17
  Royal Enfield Ordnance Spitfire 12mm Battle Pistol|P|PISTOLS|VERY HEAVY|1|J"|P|4d6+1|12mm|12|1|VR|50|550|BH pg.17
  14.5mm Assault Rifle|RIF|RIFLES|ASSAULT|1|N"|P|7d10|14.5mm|50|10|VR|400|2500|BH pg.38
  AK-47|RIF|RIFLES|ASSAULT|0|N"|E|5d6|7.56mm|30|20|VR|400|200|CP20 pg.66
  AKR-20 Medium Assault|RIF|RIFLES|ASSAULT|0|N"|C|5d6|5.45mm|30|30|ST|400|500|BH pg.27
  Arasaka WAA Bullpup Assault Weapon|RIF|RIFLES|ASSAULT|1|N"|C|5d6|5.56mm|30|30|VR|400|800|BH pg.27
  CCMMC Jinhua M-9|RIF|RIFLES|ASSAULT|0|N"|P|6d6+2|7.62mm|35|25|ST|400|125|BH pg.27
  Chadran Jungle Reaper|RIF|RIFLES|ASSAULT|1|N"|P|5d6|5.56mm|60|20|VR|400|1550|BH pg.27
  Colt M-18 Assault Weapon|RIF|RIFLES|ASSAULT|1|N"|C|5d6|5.56mm|35|30|VR|400|750|BH pg.27
  Darra-Polytechnic M-9 Assault Rifle|RIF|RIFLES|ASSAULT|0|N"|P|4d6+2|5.5mm|40|25|ST|200|300|BH pg.27
  Fabrica De Armes M-2012|RIF|RIFLES|ASSAULT|2|N"|P|5d6+3|6.5mm|30|4|VR|400|1400|BH pg.28
  Federated Arms Light Assault 15 (Caseless)|RIF|RIFLES|ASSAULT|0|N"|C|5d6+3|7mm|30|25|VR|400|400|BH pg.27
  FN-FAL|RIF|RIFLES|ASSAULT|0|N"|C|6d6+2|7.56mm|20|21|VR|400|450|BH pg.66
  FN-RAL Heavy Assault Rifle|RIF|RIFLES|ASSAULT|-1|N"|C|6d6+2|7.62mm|30|30|VR|400|600|BH pg.27
  Kalashnikov A-80 Heavy Assault Rifle|RIF|RIFLES|ASSAULT|-1|N"|E|6d6+2|7.62mm|35|25|ST|400|550|BH pg.28
  L85A1|RIF|RIFLES|ASSAULT|1|N"|C|5d6|5.56mm|30|20|VR|500|500|UK pg.36
  M-16A|RIF|RIFLES|ASSAULT|2|N"|C|4d6|5.56mm cased|30|25|UR|400|200|CP20 pg.66
  Militech Dragon Light Assault Weapon|RIF|RIFLES|ASSAULT|0|L"|C|6d6-1|6.5mm Hybrid|35|30|VR|400|700|BH pg.28
  Militech M-31a1 Advanced Infantry Combat Weapon|RIF|RIFLES|ASSAULT|2|N"|R|4d6|4.5mm|150|30|ST|400|1695|BH pg.28
  Militech Mark V Assault Rifle|RIF|RIFLES|ASSAULT|1|N"|P|9d6|6.5mm ETE|30|4|ST|600|1500|SW pg.33
  Militech Mk IV Assault Weapon|RIF|RIFLES|ASSAULT|1|N"|C|6d6-1|6.5mm Hybrid|35|30|VR|400|800|BH pg.28
  Militech Ronin Light Assault|RIF|RIFLES|ASSAULT|1|N"|C|5d6|5.56mm|35|30|VR|400|450|BH pg.28
  Royal Enfield Ordnance Liquid Propellant Assault Rifle LPA1|RIF|RIFLES|ASSAULT|1|N"|R|6d6|7.5mm|90|20|VR|500|1800|BH pg.29
  Sternmeyer M-95A4 (CG-138) Assault Weapon|RIF|RIFLES|ASSAULT|1|N"|R|5d6|5.56mm|90|30|VR|400|750|BH pg.28
  Stolbovoy St-5 Assault Rifle|RIF|RIFLES|ASSAULT|-1|N"|C|5d6|5.45mm|30|30|VR|400|900|BH pg.29
  Styer AUG|RIF|RIFLES|ASSAULT|2|L"|P|4d6|5.56mm|30|20|VR|400|400|CP20 pg.66
  Towa Manufacturing type-20 Advanced Infantry Combat Weapon|RIF|RIFLES|ASSAULT|2|N"|P|5d6|5.56mm|100|45|VR|400|4200|BH pg.29
  Towa Manufacturing type-99 Assault Rifle|RIF|RIFLES|ASSAULT|1|N"|P|5d6mm|5.56mm|35|30|ST|400|1500|BH pg.29
  12.7mm Assault Rifle|RIF|RIFLES|Borg Weapon|1|N"|P|6d10|12.7mm|50|10|VR|400|2000|BH pg.38
  Calico 9mm Rifle|RIF|RIFLES|OTHER|1|L/N"|C|2d6+1|9mm cased|50|1|VR|400|650|NEO pg.65
  Heckler & Koch HK77UK|RIF|RIFLES|OTHER|1|L"|P|2d6+4|9mm Long|30|30|VR|250|750|BH pg.30
  Hughes Rocket Rifle|RIF|RIFLES|OTHER|-1|N"|R|3d10|18mm Gyrojet HEAT|3|1|ST|500|750|BH pg.31
  M-99 EVAW|RIF|RIFLES|OTHER|5|N"|R|6d6|12mm Rocket|30|2|ST|400|5000|BH pg.31
  Malorian Assault Cannon|RIF|RIFLES|OTHER|3|N"||7d10+4|.75|14|2|VR|400|0|SW pg.33
  Militech Cyborg Rifle|RIF|RIFLES|OTHER|1|N"|P|7d6+3|.300WM|30|20|ST|500|800|BH pg.31
  Militech Ninja|RIF|RIFLES|OTHER|1|L"|C|1d6|.22/5mm|30|30|VR|250|650|BH pg.31
  Nomad 'Personal Weapon'|RIF|RIFLES|OTHER|1|L"|P|3D6|5.7mm|50|2|VR|200|500|BH pg.32
  Nomad .357 Magnum Automatic  Carbine|RIF|RIFLES|OTHER|1|L"|C|2d6+3|.357|30|2|VR|100|400|BH pg.31
  Nomad .357 Magnum Lever-Action Carbine|RIF|RIFLES|OTHER|2|L"|C|2d6+3|.357|9|2|VR|100|300|BH pg.31
  Nomad .44 Magnum Lever-Action Rifle|RIF|RIFLES|OTHER|1|L"|C|4d6+2|.44|8|2|VR|200|650|BH pg.31
  Nomad 7.62 Bolt-Action Rifle|RIF|RIFLES|OTHER|2|N"|C|6d6+2|7.62mm|6|1|VR|400|500|BH pg.31
  Polymer 1-Shot Cannon|RIF|RIFLES|OTHER|-2|L"|C|4d6+2|13mm|1|1|UR|100|90|BH pg.32
  Stein & Wasserman Model F 'Cyborg Assault' Weapon System|RIF|RIFLES|OTHER|0|L"|P|4D6+2|13mm|8|1|VR|100|1650|BH pg.32
  Tsunami Arms Ramjet Rifle|RIF|RIFLES|OTHER|4|N"|P|5D6+3|8.5mm Ramjet|9|3|VR|800|1230|BH pg.32
  Arasaka 12.7mm WSSE/R 'Dahiyari Plasmatic Sniper Rifle|RIF|RIFLES|SNIPER|2|N"|R|9d10|.50 BMG ETE|5|1|VR|1200|2000|SW pg.33
  Arasaka WSSA Sniper System|RIF|RIFLES|SNIPER|5|N"|P|6d6|3.5mm FF|40|2|VR|600|2400|BH pg.29
  Barrett M-90 Sniper Rifle|RIF|RIFLES|SNIPER|3|N"|R|6d10|12.7mm BMG|10|1|VR|1000|1500|BH pg.30
  Barrett-Arasaka Light-20|RIF|RIFLES|SNIPER|0|N"|R|4d10|20mm|10|1|VR|450|2000|BH pg.30
  Barrett-Arasaka WSSE 'Hiyari' 12.7mm Plasmatic Sniper Rfile|RIF|RIFLES|SNIPER|1|N"|R|8d10+3|.50 BMG ETE|10|1|VR|1000|2500|SW pg.32
  FR-F6|RIF|RIFLES|SNIPER|3|N"|P|6d6+2|7.62mm|10|2|ST|500|1100|BH pg.30
  Nomad 15mm 'Long Rifle'|RIF|RIFLES|SNIPER|1|N"|P|7d10|15mm BMG|9|1|ST|900|3000|BH pg.30
  Remington Gyro-Sniper Rifle|RIF|RIFLES|SNIPER|2|N"|P|7d6|18mm gyrojet|6|1|ST|600|1000|BH pg.30
  Setsuko-Arasaka WSE 'Kajiya' 7.82mm Plasmatic Sniper Rifle|RIF|RIFLES|SNIPER|1|N"|R|9d6+3AP|7.62mm ET|5|1|VR|500|1000|SW pg.32
  Towa Manufacturing type-00-Kai|RIF|RIFLES|SNIPER|3|N"|R|9d6+3|7.62mm EAE|6|1|VR|1200|3000|BH pg.30
  wa 2001 Sniper Rifle|RIF|RIFLES|SNIPER|3|N"|R|6d6+2|7.62mm|10|1|VR|1000|900|UK pg.37
  Winchester M70|RIF|RIFLES|SNIPER|3|N"|C|5d6+1|.30-06|5|1|VR|500|250|CP20 pg.66
  'Whippet' 12GA. Scattergun|SHT|SHOTGUNS||-3|J"|P|4d6|12ga|2|2|VR|15|200|NEO pg.66
  Arasaka WCAA 'Rapid Assault Shot 12'|SHT|SHOTGUNS||-1|N"|C|4d6|12GA|20|10|ST|50|900|BH pg.21
  CAWS|SHT|SHOTGUNS||0|N"|R|4d6|12ga|10|10|ST|50|500|CP20 pg.66
  CCMMC Qi-15|SHT|SHOTGUNS||-2|N"|P|4d6|12GA|15|10|ST|50|150|BH pg.21
  Constitution Arms Hurricane Assault Weapon|SHT|SHOTGUNS||0|N"|P|4d6|12GA|40|20|ST|70|1000|BH pg.21
  Double Barrel Shotgun|SHT|SHOTGUNS||0|N"|C|4d6|12ga|2|2|VR|50|200|UK pg.37
  Enfield-Ubichi LastChance|SHT|SHOTGUNS||0|J"|C|4d6|12GA|1|1|UR|25|60|BH pg.21
  H&K CAWS 11|SHT|SHOTGUNS||1|N"|R|4d6|12ga|30|10|ST|50|800|UK pg.36
  Luigi Franchi 'King Buck'|SHT|SHOTGUNS||-1|N"|P|6d6|10GA|4|4|VR|50|800|BH pg.21
  Luigi Franchi P.16|SHT|SHOTGUNS||1|L"|R|4d6|12GA|20|10|ST|50|980|BH pg.21
  MetaCorp Warhammer Assault Shotgun|SHT|SHOTGUNS||-1|N"|P|4d6+3|12GA mag|16|1|VR|75|700|BH pg.21
  Military M-12 Close Assault Weapon|SHT|SHOTGUNS||0|N"|P|4d6|12GA MAG|20|10|VR|50|950|BH pg.22
  Militech Bulldog Compact Assault Shotgun|SHT|SHOTGUNS||0|L"|P|4d6|12GA|21|10|ST|50|1000|BH pg.22
  Militech Crusher SSG|SHT|SHOTGUNS||-1|J"|C|3d6|20ga|6|2|ST|25|450|BH pg.22
  Militech Military/Police Shotgun|SHT|SHOTGUNS||0|N"|C|4d6|12GA|8|2|ST|50|300|BH pg.22
  Mustang Arms 'Raider' Riot Shotgun|SHT|SHOTGUNS||0|L"|C|4d6|12ga|5|2|ST|50|400|BH pg.22
  Mustang Arms Close-Control 20|SHT|SHOTGUNS||-1|N"|P|3d6|20GA|15|2|ST|50|350|BH pg.22
  Sawn-off Shotgun|SHT|SHOTGUNS||-1|J"|C|4d6|12ga|2|2|VR|10|100|UK pg.37
  Sternmeyer Stakeout 10|SHT|SHOTGUNS||-2|L"|R|4d6|12GA|10|2|ST|50|450|BH pg.22
  Tsunami 'Ragnarok'Close Assault Weapon|SHT|SHOTGUNS||0|N"|R|6d6|12GA EAE|40|20|ST|70|4500|BH pg.22
  Tsunami Arms Helix|SHT|SHOTGUNS||0|N"|P|5d6|10ga|60|43|VR|60|3000|BH pg.38
